Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical
Afghanistan,24,,,,1,23,
Albania,76,6,2,,2,72,2
Algeria,95,1,11,,32,52,
Andorra,88,13,,,1,87,2
Angola,2,1,,,,2,
Antigua and Barbuda,1,,,,,1,
Argentina,158,,3,,3,152,
Armenia,160,24,,,1,159,2
Aruba,5,,,,1,4,
Australia,1068,140,7,,46,1015,2
Austria,2719,70,7,1,9,2703,15
Azerbaijan,44,,1,,7,36,
Bahamas,4,,,,,4,
Bahrain,305,7,1,,125,179,4
Bangladesh,24,4,2,1,3,19,
Barbados,6,,,,,6,
Belarus,69,,,,15,54,
Belgium,2815,558,67,30,263,2485,288
Benin,2,,,,,2,
Bermuda,2,,,,,2,
Bhutan,2,,,,,2,
Bolivia,19,3,,,,19,
Bosnia and Herzegovina,91,2,,,2,89,1
Brazil,978,8,11,,2,965,18
Brunei,83,5,,,1,82,2
Bulgaria,142,15,3,,3,136,3
Burkina Faso,64,24,3,2,5,56,
Cabo Verde,1,,,,,1,
Cambodia,51,,,,1,50,
Cameroon,27,,,,2,25,
Canada,1087,,12,,14,1061,1
CAR,3,,,,,3,
Cayman Islands,3,,1,,,2,
Chad,1,,,,,1,
Channel Islands,14,2,,,,14,
Chile,434,,,,6,428,7
China,81008,41,3255,7,71740,6013,1927
Colombia,158,13,,,1,157,
Congo,3,,,,,3,
Costa Rica,113,,2,,2,109,2
Croatia,168,38,1,,5,162,
Cuba,21,,1,,,20,
Curaçao,3,,1,,,2,
Cyprus,75,,,,,75,1
Czechia,925,92,,,4,921,6
Denmark,1326,71,13,4,1,1312,42
Diamond Princess,712,,8,,567,137,15
Djibouti,1,,,,,1,
Dominican Republic,72,,2,,,70,
DRC,23,5,1,1,,22,
Ecuador,426,,7,,3,416,2
Egypt,285,,8,,42,235,
El Salvador,3,2,,,,3,
Equatorial Guinea,6,,,,,6,
Estonia,306,23,,,1,305,1
Eswatini,1,,,,,1,
Ethiopia,9,,,,,9,
Faeroe Islands,92,12,,,3,89,
Fiji,2,1,,,,2,
Finland,512,62,,,10,502,2
France,12612,,450,,1587,10575,1297
French Guiana,15,,,,,15,
French Polynesia,15,4,,,,15,
Gabon,4,,1,,,3,
Gambia,1,,,,,1,
Georgia,48,4,,,1,47,1
Germany,20705,857,72,4,209,20424,2
Ghana,19,3,,,,19,
Gibraltar,10,,,,2,8,
Greece,495,,13,3,19,463,20
Greenland,2,,,,,2,
Guadeloupe,51,,1,,,50,4
